Spp,Length,Weight,Sex,Year,Month,Age,BCAge,BCLength
CCF,458,726,U,2016,September,7,7,437.3378338
CCF,472,802,U,2016,September,7,7,439.4970332
CCF,437,,U,2016,September,7,7,418.2046646
CCF,408,502,U,2016,September,8,8,383.1607477
CCF,408,534,U,2016,September,8,8,384.613278
CCF,490,1106,U,2016,September,8,8,446.662654
CCF,503,1018,U,2016,September,8,8,458.3622731
CCF,526,1306,U,2016,September,8,8,503.6826669
CCF,474,808,U,2016,September,8,8,457.9494758
CCF,421,504,U,2016,September,8,8,401.8846548
CCF,425,588,U,2016,September,8,8,382.2974625
CCF,441,634,U,2016,September,8,8,420.0596974
CCF,502,1046,U,2016,September,8,8,461.8177368
CCF,528,1158,U,2016,September,8,8,505.051991
CCF,491,932,U,2016,September,8,8,480.7067795
CCF,440,,U,2016,September,8,8,407.3965507
CCF,527,1336,U,2016,September,8,8,493.9834113
CCF,463,872,U,2016,September,9,9,438.640366
CCF,469,872,U,2016,September,9,9,442.262954
CCF,465,478,U,2016,September,9,9,439.173783
CCF,430,584,U,2016,September,9,9,410.2271617
CCF,477,980,U,2016,September,9,9,460.310639
CCF,507,1198,U,2016,September,9,9,485.067212
CCF,434,732,U,2016,September,9,9,421.9970368
CCF,510,1122,U,2016,September,9,9,484.2550491
CCF,498,1144,U,2016,September,9,9,478.6312308
CCF,588,1932,U,2016,September,9,9,553.0512682
CCF,549,1636,U,2016,September,9,9,494.7457998
CCF,495,1078,U,2016,September,9,9,469.7750657
CCF,456,882,U,2016,September,10,10,432.881691
CCF,456,766,U,2016,September,10,10,437.8863355
CCF,502,1032,U,2016,September,10,10,482.8386664
CCF,518,,U,2016,September,10,10,500.1614618
CCF,483,980,U,2016,September,10,10,453.3760987
CCF,527,1072,U,2016,September,10,10,516.5989224
CCF,560,1360,U,2016,September,11,11,543.3270018
CCF,523,1294,U,2016,September,11,11,506.310938
CCF,610,,U,2016,September,14,14,593.1060429
CCF,651,2478,U,2016,September,15,15,646.732897
CCF,724,3626,U,2016,September,15,15,712.9250895
CCF,668,3294,U,2016,September,17,17,640.8774573
CCF,390,592,U,2016,September,,,
CCF,376,396,U,2016,September,,,
CCF,215,,U,2016,September,,,
CCF,248,,U,2016,September,,,
CCF,284,,U,2016,September,,,
CCF,291,,U,2016,September,,,
CCF,350,,U,2016,September,,,
CCF,355,,U,2016,September,,,
CCF,357,,U,2016,September,,,
CCF,358,,U,2016,September,,,
CCF,360,,U,2016,September,,,
CCF,378,,U,2016,September,,,
CCF,382,,U,2016,September,,,
CCF,382,,U,2016,September,,,
CCF,385,,U,2016,September,,,
CCF,386,,U,2016,September,,,
CCF,388,,U,2016,September,,,
CCF,389,,U,2016,September,,,
CCF,391,,U,2016,September,,,
CCF,393,,U,2016,September,,,
CCF,403,,U,2016,September,,,
CCF,405,,U,2016,September,,,
CCF,408,,U,2016,September,,,
CCF,411,,U,2016,September,,,
CCF,412,,U,2016,September,,,
CCF,413,,U,2016,September,,,
CCF,415,,U,2016,September,,,
CCF,423,,U,2016,September,,,
CCF,424,,U,2016,September,,,
CCF,428,,U,2016,September,,,
CCF,431,,U,2016,September,,,
CCF,438,,U,2016,September,,,
CCF,440,,U,2016,September,,,
CCF,448,,U,2016,September,,,
CCF,469,,U,2016,September,,,
CCF,315,177,U,2016,September,,,
CCF,275,116,U,2016,September,,,
CCF,543,1176,U,2016,September,,,
CCF,368,328,U,2016,September,,,
CCF,372,344,U,2016,September,,,
CCF,342,262,U,2016,September,,,
CCF,433,578,U,2016,September,,,
CCF,407,472,U,2016,September,,,
CCF,494,896,U,2016,September,,,
CCF,510,998,U,2016,September,,,
CCF,440,614,U,2016,September,,,
CCF,425,548,U,2016,September,,,
CCF,446,648,U,2016,September,,,
CCF,468,766,U,2016,September,,,
CCF,406,480,U,2016,September,,,
CCF,462,748,U,2016,September,,,
CCF,384,408,U,2016,September,,,
CCF,292,166,U,2016,September,,,
CCF,453,706,U,2016,September,,,
CCF,427,584,U,2016,September,,,
CCF,260,114,U,2016,September,,,
CCF,422,564,U,2016,September,,,
CCF,383,416,U,2016,September,,,
CCF,379,404,U,2016,September,,,
CCF,671,2684,U,2016,September,,,
CCF,373,388,U,2016,September,,,
CCF,388,442,U,2016,September,,,
CCF,483,916,U,2016,September,,,
CCF,674,2750,U,2016,September,,,
